phase,link,service,protocol,mode,fallback_chain,estimated_latency_ms,rationale
2,core-0,core-0:otn,otn,PQC_ONLY,,3.373,selected PQC_ONLY: score 4.08; Mosca margin +3 y; assurance=high; QKD route=qualified route
2,core-0,core-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,6.863,selected PQT_HYBRID: score 4.78; Mosca margin +2 y; assurance=high; QKD route=qualified route
2,core-1,core-1:otn,otn,PQC_ONLY,,3.831,selected PQC_ONLY: score 4.02; Mosca margin +3 y; assurance=high; QKD route=trusted-node policy limit exceeded
2,core-1,core-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,8.695,selected PQT_HYBRID: score 4.61; Mosca margin +7 y; assurance=high; QKD route=trusted-node policy limit exceeded
2,core-2,core-2:otn,otn,PQC_ONLY,,3.052,selected PQC_ONLY: score 4.11; Mosca margin +3 y; assurance=high; QKD route=insufficient approved trusted sites
2,core-2,core-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,5.577,selected PQT_HYBRID: score 4.89; Mosca margin +7 y; assurance=high; QKD route=insufficient approved trusted sites
2,core-3,core-3:otn,otn,PQC_ONLY,,3.221,selected PQC_ONLY: score 4.09; Mosca margin +3 y; assurance=high; QKD route=qualified route
2,core-3,core-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,6.252,selected PQT_HYBRID: score 4.83; Mosca margin +2 y; assurance=high; QKD route=qualified route
2,core-4,core-4:otn,otn,PQC_ONLY,,3.505,selected PQC_ONLY: score 4.06; Mosca margin +3 y; assurance=high; QKD route=no qualified optical path
2,core-4,core-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,7.392,selected PQT_HYBRID: score 2.73; Mosca margin -3 y; assurance=high; QKD route=no qualified optical path
2,core-5,core-5:otn,otn,PQC_ONLY,,3.691,selected PQC_ONLY: score 4.04; Mosca margin +3 y; assurance=high; QKD route=insufficient approved trusted sites
2,core-5,core-5:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,8.136,selected PQT_HYBRID: score 4.66; Mosca margin +7 y; assurance=high; QKD route=insufficient approved trusted sites
2,metro0-0,metro0-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.986,selected PQT_HYBRID: score 3.20; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro0-0,metro0-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.621,selected PQT_HYBRID: score 3.31; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-1,metro0-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.254,selected PQT_HYBRID: score 3.15; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-1,metro0-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.158,selected PQT_HYBRID: score 3.23; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-2,metro0-2:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.226,selected PQT_HYBRID: score 5.15; Mosca margin +6 y; assurance=high; QKD route=qualified route
2,metro0-2,metro0-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.102,selected PQT_HYBRID: score 5.24; Mosca margin +3 y; assurance=standard; QKD route=qualified route
2,metro0-3,metro0-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.946,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro0-3,metro0-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.543,selected PQT_HYBRID: score 3.32; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-4,metro0-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.945,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro0-4,metro0-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.539,selected PQT_HYBRID: score 3.32; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-0,metro1-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.073,selected PQT_HYBRID: score 3.19; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro1-0,metro1-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.797,selected PQT_HYBRID: score 3.29; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-1,metro1-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.207,selected PQT_HYBRID: score 5.16; Mosca margin +1 y; assurance=standard; QKD route=no qualified optical path
2,metro1-1,metro1-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.063,selected PQT_HYBRID: score 3.25; Mosca margin -2 y; assurance=standard; QKD route=no qualified optical path
2,metro1-2,metro1-2:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.217,selected PQT_HYBRID: score 3.16; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro1-2,metro1-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.084,selected PQT_HYBRID: score 3.25; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
